index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,title,song_ids,artist_name
447,0.5589999999999999,0.889,10,-3.995,1,0.0434,0.00607,0.0,0.476,0.628,129.063,audio_features,63h44N1oLElnzut7RxZt6Z,spotify:track:63h44N1oLElnzut7RxZt6Z,https://api.spotify.com/v1/tracks/63h44N1oLElnzut7RxZt6Z,https://api.spotify.com/v1/audio-analysis/63h44N1oLElnzut7RxZt6Z,175777,4,Underground Rap,why are you here,,63h44N1oLElnzut7RxZt6Z,Machine Gun Kelly
448,0.517,0.664,4,-7.572999999999999,0,0.405,0.0524,1.55e-05,0.302,0.45,165.204,audio_features,0b9SYbP2oWja7aVj2IFaZt,spotify:track:0b9SYbP2oWja7aVj2IFaZt,https://api.spotify.com/v1/tracks/0b9SYbP2oWja7aVj2IFaZt,https://api.spotify.com/v1/audio-analysis/0b9SYbP2oWja7aVj2IFaZt,182054,4,Underground Rap,Goin' Thru It,,0b9SYbP2oWja7aVj2IFaZt,One Lou
449,0.857,0.609,7,-7.086,0,0.258,0.021,0.0,0.114,0.385,140.047,audio_features,2DyWTfDD4lzPgrxcgAEu9e,spotify:track:2DyWTfDD4lzPgrxcgAEu9e,https://api.spotify.com/v1/tracks/2DyWTfDD4lzPgrxcgAEu9e,https://api.spotify.com/v1/audio-analysis/2DyWTfDD4lzPgrxcgAEu9e,113143,4,Underground Rap,Coca Cola,,2DyWTfDD4lzPgrxcgAEu9e,TNT Tez
450,0.875,0.519,1,-3.056,1,0.0663,0.541,1.09e-05,0.109,0.0568,110.018,audio_features,77TtEap7ay9c4Z5B9Lp3bv,spotify:track:77TtEap7ay9c4Z5B9Lp3bv,https://api.spotify.com/v1/tracks/77TtEap7ay9c4Z5B9Lp3bv,https://api.spotify.com/v1/audio-analysis/77TtEap7ay9c4Z5B9Lp3bv,248745,4,Underground Rap,Concept Nothing,,77TtEap7ay9c4Z5B9Lp3bv,Night Lovell
451,0.882,0.5660000000000001,0,-5.265,1,0.406,0.664,0.0,0.193,0.483,110.048,audio_features,37iVijLSSlIbjYbl4ycUge,spotify:track:37iVijLSSlIbjYbl4ycUge,https://api.spotify.com/v1/tracks/37iVijLSSlIbjYbl4ycUge,https://api.spotify.com/v1/audio-analysis/37iVijLSSlIbjYbl4ycUge,174555,4,Underground Rap,Ultrasound,,37iVijLSSlIbjYbl4ycUge,Joyner Lucas
452,0.675,0.491,0,-9.232,0,0.77,0.128,0.0,0.2,0.516,107.292,audio_features,5OScgnBrhOE7lbjKGx9zWh,spotify:track:5OScgnBrhOE7lbjKGx9zWh,https://api.spotify.com/v1/tracks/5OScgnBrhOE7lbjKGx9zWh,https://api.spotify.com/v1/audio-analysis/5OScgnBrhOE7lbjKGx9zWh,166687,5,Underground Rap,Head Ass Niggaz,,5OScgnBrhOE7lbjKGx9zWh,J.Mafia
453,0.866,0.685,2,-7.521,1,0.284,0.0106,0.0,0.0894,0.513,165.02200000000002,audio_features,3mpO4PEpEMrkqhcluWSvh6,spotify:track:3mpO4PEpEMrkqhcluWSvh6,https://api.spotify.com/v1/tracks/3mpO4PEpEMrkqhcluWSvh6,https://api.spotify.com/v1/audio-analysis/3mpO4PEpEMrkqhcluWSvh6,279320,4,Underground Rap,666,,3mpO4PEpEMrkqhcluWSvh6,YG
454,0.932,0.705,11,-7.835,0,0.193,0.764,0.024,0.108,0.528,118.996,audio_features,7cyBGE1p6xTLTN773t0sul,spotify:track:7cyBGE1p6xTLTN773t0sul,https://api.spotify.com/v1/tracks/7cyBGE1p6xTLTN773t0sul,https://api.spotify.com/v1/audio-analysis/7cyBGE1p6xTLTN773t0sul,98899,4,Underground Rap,nm jc,,7cyBGE1p6xTLTN773t0sul,$uicideboy$
455,0.535,0.603,11,-9.967,0,0.613,0.0595,0.0,0.3229999999999999,0.523,145.89600000000002,audio_features,1XWzU6wbpazNFCfdPzeaD8,spotify:track:1XWzU6wbpazNFCfdPzeaD8,https://api.spotify.com/v1/tracks/1XWzU6wbpazNFCfdPzeaD8,https://api.spotify.com/v1/audio-analysis/1XWzU6wbpazNFCfdPzeaD8,146837,4,Underground Rap,Palm Angels,,1XWzU6wbpazNFCfdPzeaD8,Smoove'L
456,0.775,0.4429999999999999,1,-6.908,1,0.366,0.00436,7.73e-06,0.104,0.225,150.418,audio_features,1rMGsPcELyYLwm87GNHFai,spotify:track:1rMGsPcELyYLwm87GNHFai,https://api.spotify.com/v1/tracks/1rMGsPcELyYLwm87GNHFai,https://api.spotify.com/v1/audio-analysis/1rMGsPcELyYLwm87GNHFai,154400,4,Underground Rap,God Nem (Remix),,1rMGsPcELyYLwm87GNHFai,Waldo
